Year,Week,Sales_sum,Sales_mean,Customers_sum,Customers_mean,Promo_mean
2013,1,40856334,6097.05,4759436,710.26,0.0
2013,2,49275222,7410.92,5226350,786.04,0.83
2013,3,34377765,5166.48,4205743,632.06,0.0
2013,4,46040169,6907.75,4928833,739.51,0.83
2013,5,38466029,5769.62,4507650,676.11,0.0
2013,6,49002283,7345.57,5226639,783.49,0.83
2013,7,36269664,5463.12,4386588,660.73,0.0
2013,8,47701937,7132.47,5069911,758.06,0.83
2013,9,38622888,5770.64,4599662,687.23,0.0
2013,10,50405423,7549.11,5416797,811.26,0.83
2013,11,36897264,5524.37,4421746,662.04,0.0
2013,12,49007385,7321.09,5219063,779.66,0.83
2013,13,50651487,9049.76,5274769,942.43,0.8
2013,14,33487892,5972.52,4041548,720.8,0.0
2013,15,48076582,7194.94,5235438,783.51,0.83
2013,16,35207026,5267.36,4425746,662.14,0.0
2013,17,46054657,6887.19,5084147,760.3,0.83
2013,18,46346012,8271.64,4942919,882.19,0.8
2013,19,36864727,6564.23,4380091,779.93,0.0
2013,20,49004514,7310.83,5339461,796.58,0.83
2013,21,32244490,5734.39,3885987,691.09,0.0
2013,22,48702489,8088.77,5076402,843.12,0.81
2013,23,48189377,7201.04,5288505,790.27,0.83
2013,24,38131461,5693.81,4596183,686.3,0.0
2013,25,47709027,7113.32,5167404,770.45,0.83
2013,26,39526592,5897.73,4615466,688.67,0.0
2013,27,51108779,7636.15,5449622,814.23,0.83
2013,28,38482223,5741.04,4604485,686.93,0.0
2013,29,51558186,7681.49,5411624,806.26,0.83
2013,30,36037413,5365.9,4352176,648.03,0.0
2013,31,55100070,8207.97,5620299,837.23,0.83
2013,32,39095391,5829.04,4663391,695.3,0.0
2013,33,49819520,7590.97,5355030,815.94,0.83
2013,34,35496885,5291.72,4402869,656.36,0.0
2013,35,50439132,7518.13,5369149,800.29,0.83
2013,36,37129023,5545.78,4559236,680.99,0.0
2013,37,50876737,7589.01,5370363,801.07,0.83
2013,38,35143247,5234.32,4386385,653.32,0.0
2013,39,46992990,6991.96,5116953,761.34,0.83
2013,40,36348536,6439.07,4282021,758.55,0.0
2013,41,50483302,7511.28,5325688,792.4,0.83
2013,42,36627672,5449.74,4454067,662.71,0.0
2013,43,46108757,6860.4,5090771,757.44,0.83
2013,44,37281904,6242.78,4415074,739.3,0.0
2013,45,51249958,7641.26,5375244,801.44,0.83
2013,46,38138469,5686.37,4557155,679.46,0.0
2013,47,49971758,7534.95,5274155,795.26,0.83
2013,48,45503907,6784.54,5053410,753.45,0.0
2013,49,60241244,8980.51,5956911,888.03,0.83
2013,50,46115221,6875.69,5184121,772.94,0.0
2013,51,75371329,11219.31,7166027,1066.69,0.83
2013,52,35035735,7749.55,3885715,859.48,0.0
2014,1,39517841,6384.14,4487596,724.98,0.0
2014,2,50734135,7929.69,5277956,824.94,0.82
2014,3,36096897,5402.11,4394843,657.71,0.0
2014,4,48718047,7292.03,5058853,757.2,0.83
2014,5,38687737,5777.74,4525397,675.84,0.0
2014,6,52745712,7878.37,5450483,814.11,0.83
2014,7,38305613,5721.53,4650463,694.62,0.0
2014,8,49149608,7332.48,5251077,783.39,0.83
2014,9,38889155,5801.75,4663215,695.69,0.0
2014,10,51463567,7708.74,5416594,811.35,0.83
2014,11,36775546,5491.35,4496797,671.46,0.0
2014,12,47843519,7145.09,5147064,768.68,0.83
2014,13,37559768,5613.48,4479756,669.52,0.0
2014,14,53065796,7903.75,5527344,823.26,0.83
2014,15,39347439,5857.02,4682165,696.96,0.0
2014,16,51570943,9169.8,5287697,940.2,0.8
2014,17,31657654,5619.04,3875284,687.84,0.0
2014,18,49592692,8816.48,5090423,904.96,0.8
2014,19,52472756,7810.77,5512645,820.58,0.83
2014,20,37708747,5614.76,4563036,679.43,0.0
2014,21,48145451,7174.11,5182794,772.28,0.83
2014,22,38004359,6752.73,4300321,764.09,0.0
2014,23,54745233,8161.19,5663715,844.32,0.83
2014,24,35213005,6253.42,4095295,727.28,0.0
2014,25,48334322,8020.96,5060144,839.72,0.81
2014,26,38181219,5697.84,4526166,675.45,0.0
2014,27,48599234,8374.85,5040332,868.57,0.83
2014,28,33257150,5917.64,3977244,707.69,0.0
2014,29,41892400,7490.15,4470123,799.24,0.83
2014,30,31838661,5679.39,3822633,681.88,0.0
2014,31,44732086,7962.28,4630469,824.22,0.83
2014,32,41835824,7437.48,4497314,799.52,0.83
2014,33,32550103,5780.52,3926878,697.37,0.0
2014,34,42433596,7539.73,4572603,812.47,0.83
2014,35,33810730,6027.94,4067592,725.19,0.0
2014,36,43709543,7798.31,4683122,835.53,0.83
2014,37,32282250,5747.24,3963544,705.63,0.0
2014,38,40535195,7207.54,4469270,794.68,0.83
2014,39,30547106,5420.96,3817846,677.52,0.0
2014,40,40260067,8493.69,4254520,897.58,0.8
2014,41,42526013,7541.41,4576950,811.66,0.83
2014,42,31549981,5593.97,3895985,690.78,0.0
2014,43,38986995,6912.59,4338987,769.32,0.83
2014,44,32071552,6325.75,3846295,758.64,0.0
2014,45,45917617,8160.23,4782974,850.0,0.83
2014,46,41459754,7369.31,4502792,800.35,0.83
2014,47,33219255,5985.45,3972347,715.74,0.0
2014,48,48995191,8707.16,4984441,885.81,0.83
2014,49,52410580,9315.78,5211825,926.38,0.83
2014,50,38455597,6835.34,4330737,769.77,0.0
2014,51,59780187,10604.96,5678921,1007.44,0.83
2014,52,32621468,8589.12,3506104,923.14,0.0
2015,1,14039097,6184.62,1564487,689.2,0.0
2015,2,48770284,7619.17,4984300,778.68,0.82
2015,3,49213476,7337.63,5126579,764.36,0.83
2015,4,36263074,5411.59,4310540,643.27,0.0
2015,5,50783355,7577.34,5161990,770.22,0.83
2015,6,50548507,7542.3,5250483,783.42,0.83
2015,7,39497832,5889.05,4644655,692.51,0.0
2015,8,48295825,7249.45,5006694,751.53,0.83
2015,9,39936680,5963.37,4580308,683.93,0.0
2015,10,52123970,7782.02,5367480,801.36,0.83
2015,11,39436926,5881.72,4552824,679.02,0.0
2015,12,50662424,7551.41,5266615,785.01,0.83
2015,13,39585055,5891.51,4552136,677.5,0.0
2015,14,55923085,9943.65,5246006,932.79,0.8
2015,15,34879894,6188.77,4060852,720.52,0.0
2015,16,52185098,7765.64,5340527,794.72,0.83
2015,17,37771145,5619.03,4480510,666.54,0.0
2015,18,50032452,8891.5,4959147,881.31,0.8
2015,19,53033320,7898.92,5453294,812.23,0.83
2015,20,37206131,6601.51,4246510,753.46,0.0
2015,21,51500623,7661.5,5303061,788.91,0.83
2015,22,38125401,6759.82,4190344,742.97,0.0
2015,23,51400738,8511.47,5147043,852.3,0.81
2015,24,40696818,6056.07,4646930,691.51,0.0
2015,25,53115445,7908.79,5319923,792.13,0.83
2015,26,38749768,5768.05,4453285,662.89,0.0
2015,27,55690481,8287.27,5427041,807.6,0.83
2015,28,41391282,6164.0,4679553,696.88,0.0
2015,29,52008419,7753.19,5246462,782.12,0.83
2015,30,39402115,5872.15,4476535,667.14,0.0
2015,31,47230923,8487.14,4502245,809.03,1.0
